33 5 -0.25 6 -0.25 7 -0.25 8 -0.25 13 0.5 14 0.5 15 0.5 16 0.5
37 5 -0.1875 6 -0.1875 7 -0.1875 8 -0.1875 13 0.375 14 0.75 15 0.375 16 0.25
38 6 -0.125 7 0.375 14 0.75
39 7 0.375 8 -0.125 15 0.75
40 5 -0.1875 6 -0.1875 7 -0.1875 8 -0.1875 13 0.25 14 0.375 15 0.75 16 0.375
50 5 -0.125 6 0.375 13 0.75
51 6 0.375 7 -0.125 14 0.75
52 5 -0.1875 6 -0.1875 7 -0.1875 8 -0.1875 13 0.75 14 0.375 15 0.25 16 0.375
59 5 -0.1875 6 -0.1875 7 -0.1875 8 -0.1875 13 0.375 14 0.25 15 0.375 16 0.75
60 7 -0.125 8 0.375 15 0.75
61 5 -0.125 8 0.375 16 0.75
67 5 0.375 6 -0.125 13 0.75
68 5 0.375 8 -0.125 16 0.75
